                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9679,                 4.2073,                 4.2281,                0.00306,                   0.75,                  0.005,                0.00113,                  2.164,                 4.2395,                 4.1584,              0.0001667,              0.0001667,              0.0001667
                      2,                 2.8049,                 4.0329,                 4.1079,                0.00336,                0.78472,                0.00611,                0.00163,                 2.1546,                 4.2368,                 4.1455,             0.00033621,             0.00033621,             0.00033621
                      3,                 2.6805,                 3.7759,                 3.9557,                0.00286,                0.72917,                0.00564,                0.00187,                 2.1429,                 4.2348,                 4.1114,             0.00049119,             0.00049119,             0.00049119
                      4,                 2.6849,                 3.5763,                 3.7609,                0.00326,                0.78472,                0.00533,                0.00192,                 2.1263,                 4.1531,                 4.0701,             0.00063165,             0.00063165,             0.00063165
                      5,                  2.484,                 3.2828,                  3.498,                0.00213,                0.67033,                0.00531,                0.00132,                 2.0786,                 4.0346,                 3.9518,             0.00075759,             0.00075759,             0.00075759
                      6,                 2.4311,                 3.2154,                 3.3714,                0.00335,                0.79167,                0.00471,                0.00177,                 2.0873,                 4.0292,                 4.0476,             0.00086901,             0.00086901,             0.00086901
                      7,                 2.3752,                 3.1864,                 3.2963,                0.00314,                0.84722,                0.02841,                0.00838,                 2.1308,                 4.0269,                 3.9383,              0.0009659,              0.0009659,              0.0009659
                      8,                 2.2997,                  3.011,                 3.1275,                0.00258,                0.77404,                 0.0046,                0.00151,                 2.1152,                 3.9596,                 4.0378,              0.0010483,              0.0010483,              0.0010483
                      9,                 2.1801,                 2.7324,                 2.9783,                      1,                0.04623,                0.19938,                0.10955,                  2.004,                 3.7806,                 3.7204,              0.0011161,              0.0011161,              0.0011161
                     10,                 2.2711,                 2.7586,                 2.9828,                0.38713,                0.18605,                0.27728,                0.13947,                 2.0057,                 3.6508,                 3.4839,              0.0010729,              0.0010729,              0.0010729
                     11,                 2.0813,                 2.6242,                 2.9224,                0.00212,                0.57395,                0.15838,                0.08765,                  2.094,                 3.8895,                 4.0845,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.9821,                 2.4885,                 2.8208,                0.00247,                0.65873,                0.09825,                0.03125,                 2.0182,                 3.9592,                 3.8594,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.9203,                 2.3776,                 2.7374,                0.00334,                      1,                0.18149,                0.07345,                 2.2477,                 3.6077,                 3.2773,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.9188,                 2.3156,                 2.6537,                0.34376,                0.06105,                0.30257,                 0.1563,                 1.8747,                 3.5054,                 3.0863,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.7975,                 2.2346,                 2.5704,                 0.4919,                0.35876,                0.48092,                0.28259,                 1.4126,                 3.0443,                 2.7232,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.2888,                 2.5932,                 2.1456,                0.38947,                0.62401,                 0.5069,                0.21732,                 1.4418,                 2.9053,                 2.4915,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.1179,                 2.2995,                 1.9815,                0.00286,                0.82906,                 0.2207,                0.06365,                  1.772,                  3.992,                 3.2584,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.1847,                 2.3006,                 1.9741,                0.53887,                0.38698,                0.61286,                0.44388,                 1.1037,                  3.007,                 2.1754,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.1042,                 2.1396,                 1.9326,                0.50876,                0.79587,                0.59173,                0.42849,                  1.038,                 2.4819,                 2.0426,             0.00054478,             0.00054478,             0.00054478
                     20,                0.96474,                 2.0198,                  1.809,                0.49557,                0.93688,                  0.705,                0.55769,                0.95433,                 1.9765,                 2.0324,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.0282,                 1.9543,                 1.8684,                0.46277,                0.89583,                0.68489,                0.54581,                0.92056,                 1.9916,                 2.0162,             0.00041275,             0.00041275,             0.00041275
                     22,                0.94341,                 1.9016,                 1.7606,                0.48006,                 0.9872,                0.72359,                0.57141,                0.86621,                 1.7153,                 1.8641,             0.00034674,             0.00034674,             0.00034674
                     23,                 0.9365,                 1.8036,                 1.7525,                0.49893,                0.97657,                0.75735,                0.62906,                0.82493,                 1.6381,                 1.8301,             0.00028072,             0.00028072,             0.00028072
                     24,                0.86087,                 1.7489,                 1.6951,                0.62842,                 0.8261,                 0.8761,                0.68412,                0.84893,                 1.5936,                 1.8664,             0.00021471,             0.00021471,             0.00021471
                     25,                0.82992,                 1.6653,                 1.6484,                0.64325,                0.87207,                 0.8769,                0.71281,                0.81769,                 1.5813,                 1.8641,              0.0001487,              0.0001487,              0.0001487
