name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kaduwela,2012-08-26,30.3,24,27.2,35.6,24,29.7,23.5,80.8,5.489,100,20.83,rain,,,,27.4,243.2,1009.8,69.8,13.3,206.2,17.9,7,,2012-08-26T06:03:18,2012-08-26T18:20:13,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-08-27,30.4,26.2,28,36.5,26.2,31.1,24,79.3,0.728,100,8.33,rain,,,,23.8,250.4,1009.9,67.4,13.7,142.9,12.3,5,,2012-08-27T06:03:12,2012-08-27T18:19:45,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-08-28,29.9,25.1,27.5,36.2,25.1,30.4,23.8,80.3,2.979,100,12.5,rain,,,,22.3,230.7,1010.1,79.6,13.2,143.5,12.2,5,,2012-08-28T06:03:05,2012-08-28T18:19:16,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-08-29,29.1,24.6,26.4,34.7,24.6,27.9,24.1,87.4,21.218,100,33.33,rain,,,,25.6,231.6,1009.9,84,13.6,157.1,13.7,5,,2012-08-29T06:02:58,2012-08-29T18:18:47,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-08-30,28.1,24.1,26.1,32.1,24.1,27.3,23.8,87.5,22.595,100,20.83,rain,,,,21.2,223.3,1009.6,82.6,13,123.4,10.7,4,,2012-08-30T06:02:51,2012-08-30T18:18:18,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-08-31,30.7,23.9,26.6,37.2,23.9,28.3,23.6,84.3,1.061,100,12.5,rain,,,,20.5,215.9,1009.1,75.2,13.1,215.7,18.7,8,,2012-08-31T06:02:43,2012-08-31T18:17:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-01,30.5,24.6,27.4,36.6,24.6,30.1,23.9,81.6,15.777,100,12.5,rain,,,,20.2,224.3,1008.8,72.4,13.6,236,20.4,8,,2012-09-01T06:02:35,2012-09-01T18:17:19,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-02,30.1,24.8,27.5,36.3,24.8,30.6,24.2,82.5,8.581,100,16.67,rain,,,,22.3,216.1,1009,68.2,13,200.4,17.4,7,,2012-09-02T06:02:27,2012-09-02T18:16:48,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-03,30.1,25.7,27.9,36.3,25.7,32.1,24.8,83.4,1.636,100,20.83,rain,,,,21.2,224.7,1008.2,70.2,12.8,143.4,12.5,5,,2012-09-03T06:02:19,2012-09-03T18:16:18,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-04,28.1,24.8,25.9,32.8,24.8,26.6,23.6,87.1,22.934,100,16.67,rain,,,,29.2,217.9,1009.2,93.4,11.7,203.7,17.6,8,,2012-09-04T06:02:10,2012-09-04T18:15:47,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-05,30.8,24.6,27.6,36.9,24.6,30.6,23.9,80.6,0.1,100,4.17,rain,,,,16.6,208.2,1009.2,59.8,13,294.6,25.4,10,,2012-09-05T06:02:01,2012-09-05T18:15:16,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-06,30.1,25.1,27.7,36.3,25.1,30.6,24.3,82,3.612,100,12.5,rain,,,,22.3,206.4,1010,63,12.8,230.9,20,8,,2012-09-06T06:01:52,2012-09-06T18:14:45,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-07,29.1,25,26.1,34.7,25,27.2,24.1,88.6,47.782,100,16.67,rain,,,,24.1,192.1,1010.2,82.3,12.3,110.2,9.4,4,,2012-09-07T06:01:43,2012-09-07T18:14:13,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-08,30.5,25.1,27.7,37.3,25.1,31.2,24.3,82,16.622,100,12.5,rain,,,,20.5,221.7,1009.6,84.8,12.7,145,12.7,5,,2012-09-08T06:01:33,2012-09-08T18:13:41,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-09,30.1,25.6,27.8,36.3,25.6,31.3,24.2,80.6,13.046,100,12.5,rain,,,,22.3,241.1,1010,73.9,13,175.7,15.3,7,,2012-09-09T06:01:24,2012-09-09T18:13:09,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-10,30.3,25.7,28.3,36,25.7,32.2,23.8,76.8,3.126,100,8.33,rain,,,,21.6,243,1010.6,62.9,13.2,149.9,12.9,5,,2012-09-10T06:01:14,2012-09-10T18:12:37,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-11,30.8,25.9,28.3,37.4,25.9,32.3,24.5,79.9,0.004,100,4.17,rain,,,,20.5,223,1010.3,64.5,12.8,201.5,17.4,7,,2012-09-11T06:01:05,2012-09-11T18:12:05,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-12,30.7,25.8,28.5,37,25.8,32.8,24.4,78.4,0.2,100,8.33,rain,,,,20.5,229.2,1010.7,54.8,13.1,233.1,20.1,8,,2012-09-12T06:00:55,2012-09-12T18:11:32,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-13,31.1,27.1,28.7,37.6,30.2,33.3,24.4,77.5,0.291,100,8.33,rain,,,,22.3,223,1010.9,62,13,150.6,12.9,5,,2012-09-13T06:00:45,2012-09-13T18:11:00,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-14,31.1,26,28.3,37.2,26,32.6,24.5,79.9,7.279,100,20.83,rain,,,,22.3,230.2,1010.8,61.4,12.7,194.1,16.6,7,,2012-09-14T06:00:35,2012-09-14T18:10:27,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-15,30.6,25.7,28,36.6,25.7,31.4,23.9,78.7,4.827,100,25,rain,,,,24.5,238.7,1009.9,64.5,13.2,221.2,19,8,,2012-09-15T06:00:25,2012-09-15T18:09:55,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-16,30.1,26,27.9,36.1,26,31.8,24.2,80.4,4.737,100,16.67,rain,,,,20.2,233.8,1009.4,79.1,12.7,183.5,15.7,6,,2012-09-16T06:00:15,2012-09-16T18:09:22,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-17,31,26.1,27.8,37.6,26.1,31.2,24.7,83.4,1.201,100,12.5,rain,,,,19.8,238.8,1009.7,75.4,13.6,170.2,14.5,7,,2012-09-17T06:00:05,2012-09-17T18:08:49,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-18,30.7,25.8,27.2,36.7,25.8,29.4,24.1,83.5,0.101,100,4.17,rain,,,,26.6,235.9,1009.5,71.3,17.1,177.1,15.3,6,,2012-09-18T05:59:55,2012-09-18T18:08:16,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-19,30.6,25.6,27.9,35.6,25.6,30.8,24,79.8,0.516,100,12.5,rain,,,,20.5,224.2,1008.7,63.5,14.2,191.9,16.6,7,,2012-09-19T05:59:45,2012-09-19T18:07:44,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-20,30.6,25.1,27.6,36.9,25.1,30.4,24.3,82.7,3.662,100,20.83,rain,,,,20.5,193.6,1009.4,65.4,12.5,193.8,16.7,7,,2012-09-20T05:59:35,2012-09-20T18:07:11,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-21,31.3,24.9,27.8,36.7,24.9,30.3,23.5,78.3,0.7,100,4.17,rain,,,,25.9,193.6,1009.7,44.6,12.9,272.1,23.5,9,,2012-09-21T05:59:25,2012-09-21T18:06:38,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-22,29.7,24.2,26.7,34.8,24.2,28.4,23.9,84.9,14.894,100,20.83,rain,,,,22.3,192.8,1010.5,62.1,12.2,206.9,17.8,8,,2012-09-22T05:59:15,2012-09-22T18:06:06,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-09-23,30.1,23.9,26.7,35.2,23.9,28.6,23.4,82.4,9.525,100,16.67,rain,,,,25.9,209.6,1011,84.4,12.9,150.2,13.1,6,,2012-09-23T05:59:05,2012-09-23T18:05:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-24,30.1,24.1,26.9,35.2,24.1,28.9,23.8,83.8,3.985,100,29.17,rain,,,,24.1,209.9,1010.5,74.8,12.5,206.8,17.9,7,,2012-09-24T05:58:56,2012-09-24T18:05:01,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-25,30.4,23.1,27,35.8,23.1,29.5,23.2,80.1,19.661,100,8.33,rain,,,,18.7,217.7,1010.1,74.4,12.6,119.7,10.3,4,,2012-09-25T05:58:46,2012-09-25T18:04:29,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-26,30.6,25.1,28,35.7,25.1,30.7,23.4,76.4,0.1,100,4.17,rain,,,,16.6,217.4,1011.1,57.7,12.4,158.5,13.5,6,,2012-09-26T05:58:37,2012-09-26T18:03:57,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-27,30.1,25.1,28.1,35.5,25.1,31.3,23.5,76.8,0.3,100,8.33,rain,,,,19.1,233.5,1011.1,69.6,12.4,168.1,14.6,5,,2012-09-27T05:58:28,2012-09-27T18:03:25,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-09-28,31,24.1,28.1,37.3,24.1,31.7,24.1,79.5,2.066,100,8.33,rain,,,,20.9,251.8,1010.1,71.6,12.5,187.1,16.2,6,,2012-09-28T05:58:19,2012-09-28T18:02:54,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-29,31.1,25.9,28.7,36.9,25.9,32.7,23.7,74.6,0.608,100,12.5,rain,,,,22.3,235.9,1009.5,59.1,13,218.6,18.9,8,,2012-09-29T05:58:10,2012-09-29T18:02:22,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-09-30,31.1,26.1,28.9,36.4,26.1,32.7,23.4,72.6,1.865,100,12.5,rain,,,,20.9,236.9,1009.7,56.5,13,209.6,18.2,7,,2012-09-30T05:58:02,2012-09-30T18:01:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-01,30.1,25.1,27.9,35.9,25.1,30.8,23.9,79.3,1.527,100,4.17,rain,,,,20.5,204.6,1010.3,59.2,12.5,153.8,13.6,6,,2012-10-01T05:57:54,2012-10-01T18:01:20,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-10-02,31.1,25,28,36.7,25,30.6,23.3,76.7,2.985,100,12.5,rain,,,,24.1,212.1,1010.9,47,12.7,242,21,9,,2012-10-02T05:57:46,2012-10-02T18:00:50,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-03,31.5,25.1,28.3,37.1,25.1,31.1,23.4,75.9,0.052,100,4.17,rain,,,,24.1,203.7,1010.9,46.7,13.2,279.9,24.2,9,,2012-10-03T05:57:38,2012-10-03T18:00:20,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-10-04,31.1,25.1,28,36.9,25.1,30.7,23.5,77.3,0.2,100,8.33,rain,,,,20.5,216.9,1010.5,60.6,13.4,275.7,23.8,9,,2012-10-04T05:57:31,2012-10-04T17:59:50,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-05,31.2,24.1,27.7,36.4,24.1,30.3,23.2,77,0,0,0,,,,,18.4,209.7,1010.8,41.3,12.8,288.1,25,10,,2012-10-05T05:57:24,2012-10-05T17:59:21,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-10-06,31.6,24.9,28.1,37.9,24.9,31.1,23.8,78,0.515,100,8.33,rain,,,,18.4,215,1010.9,50.2,13.5,259,22.2,9,,2012-10-06T05:57:17,2012-10-06T17:58:52,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
