                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86131,                0.54601,                  1.238,                0.99887,                 0.9975,                  0.995,                0.79189,                0.79311,                0.50307,                    1.3,              0.0013864,              0.0013864,              0.0013864
                     37,                0.92143,                0.58707,                  1.302,                0.99215,                  0.995,                0.99495,                0.79754,                0.78181,                0.63496,                 1.2936,              0.0013782,              0.0013782,              0.0013782
                     38,                0.89053,                0.56198,                 1.2364,                0.99715,                  0.995,                0.99497,                0.81462,                0.74366,                0.50754,                 1.2486,              0.0013699,              0.0013699,              0.0013699
                     39,                0.83601,                0.54941,                 1.2031,                0.98982,                      1,                0.99495,                0.82046,                0.74149,                0.43815,                  1.243,              0.0013617,              0.0013617,              0.0013617
                     40,                0.82742,                0.50832,                 1.2135,                0.99354,                0.98518,                0.99355,                 0.7914,                0.76038,                 0.4733,                 1.2342,              0.0013534,              0.0013534,              0.0013534
                     41,                0.84322,                0.52699,                 1.2505,                0.99041,                      1,                0.99488,                 0.8207,                0.72293,                0.47014,                 1.2318,              0.0013452,              0.0013452,              0.0013452
                     42,                0.90781,                0.54477,                 1.2556,                 0.9975,                0.99671,                  0.995,                0.81891,                0.71446,                0.45237,                 1.2086,              0.0013369,              0.0013369,              0.0013369
                     43,                0.88308,                  0.543,                 1.2637,                 0.9984,                  0.995,                0.99498,                0.83744,                0.68827,                0.43779,                 1.1894,              0.0013287,              0.0013287,              0.0013287
                     44,                0.83904,                0.49715,                  1.231,                0.99803,                0.99734,                  0.995,                0.82828,                 0.7066,                0.41782,                 1.2115,              0.0013204,              0.0013204,              0.0013204
                     45,                0.83008,                0.52737,                 1.2156,                0.99274,                  0.998,                  0.995,                0.83752,                0.64525,                0.39612,                 1.1768,              0.0013122,              0.0013122,              0.0013122
                     46,                0.79799,                0.48331,                 1.1909,                0.99859,                  0.995,                0.99498,                 0.8294,                 0.6703,                0.41011,                 1.1891,              0.0013039,              0.0013039,              0.0013039
                     47,                0.81216,                0.50204,                 1.2084,                0.99445,                      1,                0.99498,                 0.8125,                0.73453,                0.47712,                 1.2414,              0.0012957,              0.0012957,              0.0012957
                     48,                0.81767,                0.48942,                  1.195,                0.99872,                0.99744,                  0.995,                0.83648,                0.67909,                0.40812,                 1.1897,              0.0012874,              0.0012874,              0.0012874
                     49,                 0.8363,                0.51223,                 1.2186,                0.99722,                      1,                  0.995,                0.82259,                 0.7005,                0.43476,                 1.2209,              0.0012792,              0.0012792,              0.0012792
                     50,                0.78514,                0.47496,                 1.1941,                0.99893,                  0.995,                0.99498,                 0.8417,                0.64309,                 0.4058,                 1.1654,              0.0012709,              0.0012709,              0.0012709
                     51,                0.77736,                 0.4745,                 1.1785,                0.99901,                0.99797,                  0.995,                0.83656,                0.67461,                0.40189,                 1.1884,              0.0012627,              0.0012627,              0.0012627
                     52,                0.79137,                0.47391,                 1.1726,                0.99913,                0.99844,                  0.995,                0.84193,                0.65645,                0.39637,                 1.1789,              0.0012544,              0.0012544,              0.0012544
                     53,                  0.835,                0.49903,                 1.2172,                0.99751,                      1,                  0.995,                0.83087,                0.65195,                0.39699,                 1.1674,              0.0012462,              0.0012462,              0.0012462
                     54,                0.76852,                0.46232,                 1.1642,                0.99613,                 0.9975,                  0.995,                0.83417,                0.64093,                0.39077,                 1.1682,              0.0012379,              0.0012379,              0.0012379
                     55,                0.78612,                0.47221,                  1.193,                0.99872,                      1,                  0.995,                0.81857,                0.70276,                0.41021,                 1.2022,              0.0012297,              0.0012297,              0.0012297
                     56,                0.78256,                0.46018,                 1.1824,                0.99753,                  0.995,                 0.9949,                0.83451,                0.66379,                0.46314,                 1.1749,              0.0012214,              0.0012214,              0.0012214
                     57,                0.78057,                 0.4781,                 1.1938,                0.99929,                0.99671,                  0.995,                0.84456,                0.64055,                0.36989,                 1.1485,              0.0012132,              0.0012132,              0.0012132
                     58,                0.77615,                0.46161,                 1.1825,                0.99783,                      1,                  0.995,                0.84771,                0.63878,                0.36314,                 1.1563,              0.0012049,              0.0012049,              0.0012049
                     59,                0.74702,                0.43481,                 1.1368,                0.99781,                  0.995,                 0.9949,                0.84553,                0.63786,                0.36565,                 1.1456,              0.0011967,              0.0011967,              0.0011967
                     60,                0.76033,                 0.4435,                 1.1689,                0.99655,                      1,                  0.995,                0.84903,                0.64447,                0.37543,                 1.1689,              0.0011884,              0.0011884,              0.0011884
                     61,                0.74232,                0.44035,                  1.159,                0.99928,                 0.9965,                  0.995,                0.84029,                0.66864,                0.36489,                 1.1716,              0.0011802,              0.0011802,              0.0011802
                     62,                0.75388,                0.44863,                 1.1676,                0.99794,                 0.9975,                  0.995,                0.85108,                0.62159,                0.35739,                 1.1387,              0.0011719,              0.0011719,              0.0011719
                     63,                0.74854,                0.44048,                 1.1383,                0.99643,                      1,                  0.995,                0.85272,                0.61396,                0.35279,                 1.1257,              0.0011636,              0.0011636,              0.0011636
                     64,                0.76112,                0.43229,                 1.1425,                0.99911,                      1,                  0.995,                0.84348,                0.66487,                0.36266,                 1.1649,              0.0011554,              0.0011554,              0.0011554
                     65,                0.79531,                 0.4454,                 1.1754,                0.99877,                      1,                  0.995,                0.84425,                0.66574,                0.34798,                 1.1588,              0.0011471,              0.0011471,              0.0011471
                     66,                0.74675,                0.41878,                 1.1447,                0.99919,                      1,                  0.995,                0.84737,                0.66755,                0.36115,                 1.1712,              0.0011389,              0.0011389,              0.0011389
                     67,                0.74204,                0.42049,                 1.1456,                  0.999,                      1,                  0.995,                0.85468,                0.61547,                0.33535,                 1.1299,              0.0011306,              0.0011306,              0.0011306
                     68,                 0.7443,                0.41681,                 1.1378,                  0.998,                      1,                  0.995,                0.85706,                0.60895,                 0.3312,                 1.1173,              0.0011224,              0.0011224,              0.0011224
                     69,                0.71119,                0.40435,                 1.1098,                0.99909,                      1,                  0.995,                0.84251,                0.63535,                0.33959,                 1.1458,              0.0011141,              0.0011141,              0.0011141
                     70,                0.73177,                0.40544,                  1.136,                0.99858,                      1,                  0.995,                0.84278,                0.65645,                 0.3486,                 1.1663,              0.0011059,              0.0011059,              0.0011059
                     71,                0.77228,                0.42622,                 1.1539,                0.99909,                      1,                  0.995,                0.83211,                0.65054,                0.35588,                  1.147,              0.0010976,              0.0010976,              0.0010976
                     72,                0.77393,                 0.4258,                  1.176,                0.99828,                      1,                  0.995,                 0.8378,                0.68045,                0.34902,                 1.1923,              0.0010894,              0.0010894,              0.0010894
                     73,                0.72476,                0.41317,                   1.12,                0.99818,                      1,                  0.995,                0.84919,                0.63441,                0.34333,                 1.1434,              0.0010811,              0.0010811,              0.0010811
                     74,                0.72556,                0.40997,                 1.1259,                0.99889,                      1,                  0.995,                 0.8559,                0.60694,                0.35246,                 1.1193,              0.0010729,              0.0010729,              0.0010729
                     75,                0.73934,                0.42642,                 1.1332,                0.99883,                      1,                  0.995,                0.85863,                0.60099,                0.33017,                 1.1152,              0.0010646,              0.0010646,              0.0010646
                     76,                0.76428,                0.42595,                 1.1724,                0.99854,                      1,                  0.995,                0.85972,                0.60416,                0.33469,                 1.1179,              0.0010564,              0.0010564,              0.0010564
                     77,                0.71492,                0.41204,                 1.1091,                0.99232,                0.99836,                0.99485,                 0.8543,                0.64068,                0.35775,                 1.1447,              0.0010481,              0.0010481,              0.0010481
                     78,                0.74338,                0.43058,                 1.1353,                0.99775,                      1,                  0.995,                0.86652,                0.59987,                0.33117,                 1.1113,              0.0010399,              0.0010399,              0.0010399
                     79,                0.72775,                0.41096,                 1.1053,                0.99915,                      1,                  0.995,                0.87087,                0.59835,                0.33133,                 1.1079,              0.0010316,              0.0010316,              0.0010316
                     80,                0.73683,                0.41121,                 1.1515,                0.99888,                      1,                  0.995,                0.84944,                0.63772,                0.34034,                 1.1388,              0.0010234,              0.0010234,              0.0010234
                     81,                0.72082,                0.40403,                 1.1022,                 0.9983,                      1,                  0.995,                0.84176,                0.63986,                0.34405,                 1.1494,              0.0010151,              0.0010151,              0.0010151
                     82,                0.75685,                0.42331,                 1.1369,                0.99933,                      1,                  0.995,                0.85674,                 0.6233,                 0.3418,                 1.1244,              0.0010069,              0.0010069,              0.0010069
                     83,                0.74191,                0.40723,                 1.1411,                0.99928,                      1,                  0.995,                0.85588,                0.62875,                0.34481,                 1.1359,             0.00099862,             0.00099862,             0.00099862
                     84,                0.74047,                0.41794,                 1.1471,                0.99865,                      1,                  0.995,                0.85642,                0.60599,                0.32809,                 1.1159,             0.00099036,             0.00099036,             0.00099036
                     85,                0.72761,                 0.4141,                 1.1162,                0.99889,                      1,                  0.995,                0.86433,                0.60599,                0.32222,                  1.117,             0.00098211,             0.00098211,             0.00098211
                     86,                0.70516,                0.40958,                 1.1175,                0.99944,                      1,                  0.995,                0.85607,                0.63567,                 0.3218,                 1.1435,             0.00097386,             0.00097386,             0.00097386
                     87,                0.68084,                0.38415,                 1.1023,                0.99887,                      1,                  0.995,                0.86124,                0.59406,                0.32635,                 1.1025,             0.00096561,             0.00096561,             0.00096561
                     88,                0.69825,                0.38922,                 1.0939,                0.99897,                      1,                  0.995,                0.86307,                0.61485,                0.31999,                 1.1223,             0.00095736,             0.00095736,             0.00095736
                     89,                0.72141,                0.40213,                 1.1317,                0.99791,                      1,                  0.995,                0.83905,                0.64051,                0.33667,                 1.1454,             0.00094911,             0.00094911,             0.00094911
                     90,                0.72615,                 0.4132,                 1.1284,                0.99857,                      1,                  0.995,                 0.8553,                0.63279,                0.33747,                 1.1482,             0.00094085,             0.00094085,             0.00094085
                     91,                0.72682,                0.40703,                 1.1278,                0.99873,                      1,                  0.995,                0.84777,                0.66058,                0.34172,                 1.1461,              0.0009326,              0.0009326,              0.0009326
                     92,                 0.7195,                0.40523,                  1.136,                0.99895,                      1,                  0.995,                0.87026,                0.59706,                0.33555,                 1.1063,             0.00092435,             0.00092435,             0.00092435
                     93,                0.71593,                0.39942,                 1.1002,                0.99852,                      1,                  0.995,                0.85664,                0.63264,                0.33489,                  1.129,              0.0009161,              0.0009161,              0.0009161
                     94,                0.71385,                0.40223,                 1.1292,                0.99887,                      1,                  0.995,                0.86826,                0.60594,                0.31723,                 1.1135,             0.00090785,             0.00090785,             0.00090785
                     95,                 0.7242,                0.39443,                 1.1265,                 0.9991,                      1,                  0.995,                0.87572,                0.57558,                0.30364,                 1.0913,              0.0008996,              0.0008996,              0.0008996
                     96,                0.68016,                  0.382,                 1.1091,                0.99897,                      1,                  0.995,                0.86859,                0.58592,                0.32192,                  1.099,             0.00089134,             0.00089134,             0.00089134
                     97,                0.71805,                0.38717,                 1.1409,                0.99821,                      1,                  0.995,                0.85154,                0.65764,                0.31733,                 1.1432,             0.00088309,             0.00088309,             0.00088309
                     98,                0.72127,                 0.3957,                 1.1329,                0.99907,                      1,                  0.995,                0.85774,                0.64428,                0.31829,                 1.1447,             0.00087484,             0.00087484,             0.00087484
                     99,                0.72827,                0.39672,                 1.1145,                0.99915,                      1,                  0.995,                0.85586,                0.65198,                0.34275,                 1.1444,             0.00086659,             0.00086659,             0.00086659
                    100,                0.68971,                0.38218,                 1.0904,                 0.9995,                      1,                  0.995,                0.87345,                0.56878,                0.30371,                 1.0879,             0.00085834,             0.00085834,             0.00085834
                    101,                0.68464,                0.38611,                 1.0963,                0.99927,                      1,                  0.995,                0.86127,                0.60676,                0.32125,                 1.1226,             0.00085009,             0.00085009,             0.00085009
                    102,                0.70173,                0.37747,                  1.091,                0.99934,                      1,                  0.995,                 0.8619,                0.59847,                0.31227,                 1.1063,             0.00084184,             0.00084184,             0.00084184
                    103,                0.69384,                0.39147,                 1.1102,                0.99865,                      1,                  0.995,                0.87657,                 0.5868,                0.30535,                 1.0948,             0.00083358,             0.00083358,             0.00083358
                    104,                0.68017,                0.37195,                 1.0963,                0.99787,                      1,                  0.995,                0.87848,                 0.5702,                0.30273,                 1.0866,             0.00082533,             0.00082533,             0.00082533
                    105,                 0.6903,                0.37866,                 1.0936,                0.99875,                      1,                  0.995,                 0.8699,                0.59572,                0.30492,                 1.1012,             0.00081708,             0.00081708,             0.00081708
                    106,                0.66191,                0.35413,                 1.0801,                0.99939,                      1,                  0.995,                0.85883,                0.60694,                0.30756,                 1.1251,             0.00080883,             0.00080883,             0.00080883
                    107,                0.68203,                0.37336,                 1.0986,                 0.9993,                      1,                  0.995,                0.87514,                0.57195,                0.29805,                 1.0818,             0.00080058,             0.00080058,             0.00080058
                    108,                0.65929,                 0.3683,                 1.0768,                0.99924,                      1,                  0.995,                0.87095,                0.58625,                 0.3026,                 1.0939,             0.00079233,             0.00079233,             0.00079233
