                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.62454,                 0.3256,                 1.0523,                0.99956,                      1,                  0.995,                0.89146,                0.52183,                0.26608,                 1.0388,             0.00041275,             0.00041275,             0.00041275
                    155,                0.59621,                0.32233,                  1.061,                0.99954,                      1,                  0.995,                0.89041,                0.52277,                0.26358,                 1.0389,              0.0004045,              0.0004045,              0.0004045
                    156,                0.61948,                0.32233,                  1.034,                0.99954,                      1,                  0.995,                0.89126,                0.52458,                0.26197,                 1.0384,             0.00039625,             0.00039625,             0.00039625
                    157,                0.62137,                0.31811,                 1.0359,                0.99951,                      1,                  0.995,                0.89379,                0.52249,                0.26275,                 1.0348,             0.00038799,             0.00038799,             0.00038799
                    158,                0.58901,                0.31556,                 1.0386,                0.99934,                      1,                  0.995,                0.89022,                 0.5318,                0.26364,                 1.0465,             0.00037974,             0.00037974,             0.00037974
                    159,                0.62976,                0.33386,                  1.074,                0.99961,                      1,                  0.995,                0.88817,                0.53478,                0.25649,                 1.0544,             0.00037149,             0.00037149,             0.00037149
                    160,                0.61649,                0.32223,                 1.0488,                0.99965,                      1,                  0.995,                 0.8906,                0.52675,                0.25953,                 1.0422,             0.00036324,             0.00036324,             0.00036324
                    161,                0.62306,                 0.3251,                 1.0452,                0.99952,                      1,                  0.995,                 0.8891,                0.52589,                0.26088,                  1.044,             0.00035499,             0.00035499,             0.00035499
                    162,                0.59681,                0.31616,                 1.0246,                0.99954,                      1,                  0.995,                0.89332,                0.51391,                0.25837,                 1.0362,             0.00034674,             0.00034674,             0.00034674
                    163,                0.59798,                0.31452,                 1.0562,                0.99943,                      1,                  0.995,                0.89506,                0.50942,                0.24711,                 1.0299,             0.00033848,             0.00033848,             0.00033848
                    164,                0.60839,                0.31597,                  1.048,                 0.9995,                      1,                  0.995,                0.89412,                0.51508,                0.25314,                 1.0373,             0.00033023,             0.00033023,             0.00033023
                    165,                 0.6188,                0.31882,                 1.0478,                0.99952,                      1,                  0.995,                0.89476,                0.50824,                 0.2536,                 1.0297,             0.00032198,             0.00032198,             0.00032198
                    166,                0.60116,                 0.3107,                 1.0568,                0.99957,                      1,                  0.995,                0.89064,                0.52267,                0.25727,                 1.0365,             0.00031373,             0.00031373,             0.00031373
                    167,                0.61039,                0.31846,                 1.0398,                0.99966,                      1,                  0.995,                0.89075,                0.51229,                0.25235,                 1.0293,             0.00030548,             0.00030548,             0.00030548
                    168,                0.60553,                0.32104,                 1.0497,                0.99956,                      1,                  0.995,                0.89589,                0.51206,                0.24778,                 1.0331,             0.00029723,             0.00029723,             0.00029723
                    169,                0.57988,                0.30428,                 1.0307,                0.99963,                      1,                  0.995,                0.89447,                0.51335,                0.25589,                  1.031,             0.00028897,             0.00028897,             0.00028897
                    170,                0.60177,                0.32156,                 1.0402,                0.99965,                      1,                  0.995,                0.89068,                0.53327,                0.25157,                 1.0478,             0.00028072,             0.00028072,             0.00028072
                    171,                0.61276,                0.32003,                 1.0604,                0.99956,                      1,                  0.995,                 0.8982,                0.50477,                0.24726,                 1.0235,             0.00027247,             0.00027247,             0.00027247
                    172,                0.59223,                0.30967,                 1.0346,                0.99958,                      1,                  0.995,                0.89236,                0.51351,                0.25032,                 1.0296,             0.00026422,             0.00026422,             0.00026422
                    173,                0.60778,                0.31701,                 1.0344,                0.99955,                      1,                  0.995,                0.88263,                0.53705,                 0.2517,                 1.0483,             0.00025597,             0.00025597,             0.00025597
                    174,                0.60573,                0.31294,                 1.0309,                0.99952,                      1,                  0.995,                0.89309,                0.51113,                0.25162,                 1.0282,             0.00024772,             0.00024772,             0.00024772
                    175,                0.58609,                0.31019,                 1.0357,                0.99967,                      1,                  0.995,                0.89394,                0.50958,                0.24726,                 1.0223,             0.00023946,             0.00023946,             0.00023946
                    176,                0.59761,                0.30367,                 1.0341,                 0.9996,                      1,                  0.995,                0.90091,                0.50265,                0.24793,                 1.0203,             0.00023121,             0.00023121,             0.00023121
                    177,                0.59291,                0.30683,                 1.0377,                0.99956,                      1,                  0.995,                0.89758,                0.50565,                0.24779,                 1.0238,             0.00022296,             0.00022296,             0.00022296
                    178,                0.57759,                0.30257,                 1.0197,                0.99956,                      1,                  0.995,                0.89468,                0.51114,                0.24606,                  1.024,             0.00021471,             0.00021471,             0.00021471
                    179,                0.56833,                0.29943,                 1.0012,                0.99956,                      1,                  0.995,                0.89292,                 0.5184,                0.24598,                 1.0279,             0.00020646,             0.00020646,             0.00020646
                    180,                0.58851,                0.30463,                 1.0309,                0.99959,                      1,                  0.995,                0.89547,                0.50402,                 0.2416,                 1.0208,             0.00019821,             0.00019821,             0.00019821
                    181,                0.57406,                0.29889,                 1.0066,                0.99962,                      1,                  0.995,                0.89788,                0.50312,                0.24004,                 1.0197,             0.00018995,             0.00018995,             0.00018995
                    182,                0.58527,                0.30962,                 1.0307,                0.99962,                      1,                  0.995,                0.89858,                0.50362,                 0.2446,                 1.0207,              0.0001817,              0.0001817,              0.0001817
                    183,                0.57682,                0.30317,                 1.0147,                0.99957,                      1,                  0.995,                 0.8999,                0.49715,                0.24335,                 1.0156,             0.00017345,             0.00017345,             0.00017345
                    184,                 0.5942,                0.31008,                 1.0248,                0.99966,                      1,                  0.995,                 0.9007,                0.49646,                0.24031,                 1.0151,              0.0001652,              0.0001652,              0.0001652
                    185,                0.60439,                 0.3162,                 1.0216,                0.99962,                      1,                  0.995,                0.89728,                0.50846,                0.23968,                 1.0266,             0.00015695,             0.00015695,             0.00015695
                    186,                0.57259,                0.29597,                   1.02,                0.99967,                      1,                  0.995,                0.90014,                0.49796,                0.23858,                  1.017,              0.0001487,              0.0001487,              0.0001487
                    187,                0.57475,                0.31074,                 1.0303,                0.99962,                      1,                  0.995,                0.89883,                0.49871,                0.23852,                 1.0183,             0.00014044,             0.00014044,             0.00014044
                    188,                0.59093,                0.29762,                  1.023,                0.99961,                      1,                  0.995,                0.89905,                0.49915,                0.24434,                 1.0172,             0.00013219,             0.00013219,             0.00013219
                    189,                0.58563,                0.30078,                 1.0199,                0.99964,                      1,                  0.995,                0.90172,                0.49677,                0.24036,                 1.0158,             0.00012394,             0.00012394,             0.00012394
                    190,                0.58448,                0.29991,                 1.0383,                0.99963,                      1,                  0.995,                0.89982,                0.49703,                0.24105,                 1.0164,             0.00011569,             0.00011569,             0.00011569
                    191,                0.54639,                 0.2777,                 1.0291,                0.99958,                      1,                  0.995,                0.90157,                0.50315,                0.24425,                 1.0161,             0.00010744,             0.00010744,             0.00010744
                    192,                0.53505,                0.26431,                 1.0485,                0.99953,                      1,                  0.995,                0.89751,                0.49834,                0.24617,                 1.0142,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    193,                0.52366,                0.26288,                  1.019,                0.99958,                      1,                  0.995,                0.89781,                 0.4973,                0.24453,                 1.0157,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    194,                0.53717,                0.26069,                  1.041,                0.99959,                      1,                  0.995,                0.89758,                0.50035,                0.24152,                 1.0195,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    195,                0.52728,                0.26174,                 1.0359,                0.99957,                      1,                  0.995,                0.89718,                0.49553,                0.24002,                 1.0142,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    196,                0.51888,                0.25631,                 1.0268,                0.99958,                      1,                  0.995,                0.89916,                 0.4965,                0.24082,                 1.0154,              6.618e-05,              6.618e-05,              6.618e-05
                    197,                0.52077,                 0.2532,                 1.0333,                0.99953,                      1,                  0.995,                0.89647,                0.49489,                0.24043,                 1.0126,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    198,                0.52136,                0.25144,                  1.005,                0.99949,                      1,                  0.995,                0.89929,                0.49676,                0.23786,                  1.014,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    199,                0.51946,                0.25448,                  1.027,                0.99947,                      1,                  0.995,                0.89916,                0.49115,                0.23544,                 1.0111,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    200,                0.52129,                0.25254,                 1.0041,                0.99947,                      1,                  0.995,                0.89874,                0.48979,                0.23504,                 1.0115,             3.3173e-05,             3.3173e-05,             3.3173e-05
